               22        1    3    0    0    0 -0.380878534E+01  0.437868142E+01 -0.599573564E+01  0.834437191E+01  0.194698369E-05 0. 9.
               22        1    3    0    0    0  0.361246524E+01 -0.461061702E+01  0.275657956E+02  0.281812132E+02  0.366726023E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.732367722E-01  0.930141051E-02  0.249343353E+04  0.249343370E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.331282111E+00 -0.563850554E-01 -0.250230219E+04  0.250230239E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.258045339E+00  0.470836449E-01  0.886866202E+01  0.242639087E+02  0.225835182E+02 0. 9.
               22        1    3    0    0    0 -0.726888321E+01 -0.115276471E+01  0.134780679E+02  0.153565571E+02  0.479585950E-05 0. 9.
               22        1    3    0    0    0  0.752692855E+01  0.119984835E+01 -0.460940592E+01  0.890735160E+01  0.364222911E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.121071654E-01 -0.106640676E-01  0.249651126E+04  0.249651144E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.875566831E-01 -0.632149252E-02 -0.249207826E+04  0.249207844E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.996638485E-01  0.169855601E-01 -0.443299587E+01  0.314101237E+02  0.310955656E+02 0. 9.
               22        1    3    0    0    0 -0.115048049E+02  0.125682096E+01  0.822107297E+01  0.141959916E+02  0.130587234E-05 0. 9.
               22        1    3    0    0    0  0.116044688E+02 -0.123983540E+01 -0.126540688E+02  0.172141321E+02  0.141050334E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.244796373E-02 -0.210207015E-02  0.249956049E+04  0.249956066E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.240127195E+00  0.569602474E-02 -0.247549949E+04  0.247549968E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.242575158E+00 -0.359395459E-02 -0.240609995E+02  0.449396573E+02  0.379550029E+02 0. 9.
               22        1    3    0    0    0 -0.176474106E+02 -0.594679233E+01 -0.155283350E+02  0.242471572E+02  0.516879163E-05 0. 9.
               22        1    3    0    0    0  0.178899858E+02  0.594319838E+01 -0.853266450E+01  0.206925001E+02  0.476240739E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.293106654E-01  0.612863968E-01  0.249106974E+04  0.249106992E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.473656905E-02 -0.171834041E-01 -0.250200445E+04  0.250200463E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.245740964E-01 -0.441029926E-01  0.109347136E+02  0.269254553E+02  0.246050733E+02 0. 9.
               22        1    3    0    0    0 -0.295874510E+01 -0.880666245E+01 -0.338087482E+01  0.988644480E+01  0.361776135E-05 0. 9.
               22        1    3    0    0    0  0.293417100E+01  0.876255946E+01  0.143155885E+02  0.170390106E+02  0.477841928E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.163598521E-01  0.997394337E-02  0.248152935E+04  0.248152953E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.380882216E-01 -0.347121040E-01 -0.249939584E+04  0.249939602E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.544480737E-01  0.247381606E-01  0.178664896E+02  0.390744573E+02  0.347505134E+02 0. 9.
               22        1    3    0    0    0 -0.839908886E+01 -0.415366790E+00 -0.815292150E+01  0.117127005E+02  0.207163658E-05 0. 9.
               22        1    3    0    0    0  0.845353693E+01  0.440104951E+00  0.260194111E+02  0.273617568E+02  0.320094146E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.462545424E-01 -0.155654203E-01  0.246426674E+04  0.246426692E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.523814014E-01 -0.851434643E-01 -0.249766528E+04  0.249766546E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.612685900E-02  0.100708885E+00  0.333985330E+02  0.580676221E+02  0.475013321E+02 0. 9.
               22        1    3    0    0    0  0.342667936E+01 -0.211960848E+02  0.289510658E+02  0.360441445E+02  0.453641863E-05 0. 9.
               22        1    3    0    0    0 -0.342055250E+01  0.212967937E+02  0.444746721E+01  0.220234776E+02  0.340190606E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.488921369E-02 -0.491233373E-02  0.249681679E+04  0.249681696E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.811003566E-02 -0.637073044E-02 -0.250007760E+04  0.250007778E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.129992493E-01  0.112830642E-01  0.326081849E+01  0.231052579E+02  0.228739964E+02 0. 9.
               22        1    3    0    0    0 -0.256631918E+01 -0.590198517E+01  0.111744157E+02  0.128952312E+02  0.406908124E-05 0. 9.
               22        1    3    0    0    0  0.257931842E+01  0.591326823E+01 -0.791359717E+01  0.102100267E+02  0.362695610E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.119186413E+00  0.118830251E+00  0.249233101E+04  0.249233119E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.300305662E-01 -0.113916845E+00 -0.250406963E+04  0.250406981E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.149216979E+00 -0.491340617E-02  0.117386239E+02  0.235989940E+02  0.204718084E+02 0. 9.
               22        1    3    0    0    0 -0.385959482E+01  0.601214861E+01  0.143764384E+02  0.160537966E+02  0.289926207E-05 0. 9.
               22        1    3    0    0    0  0.371037784E+01 -0.601706202E+01 -0.263781451E+01  0.754519745E+01  0.196695328E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.135195869E-01  0.333212290E-02  0.250132116E+04  0.250132134E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.167235607E-01  0.215876815E-01 -0.249603522E+04  0.249603540E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.320397385E-02 -0.249198044E-01 -0.528593764E+01  0.226432622E+02  0.220176192E+02 0. 9.
               22        1    3    0    0    0 -0.333510394E+01 -0.386336682E+01  0.739291280E+01  0.898352276E+01  0.308795782E-05 0. 9.
               22        1    3    0    0    0  0.333189996E+01  0.383844702E+01 -0.126788504E+02  0.136597394E+02  0.380000062E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.156305638E+00  0.271846983E+00  0.247369214E+04  0.247369234E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.164128969E+00 -0.107896344E+00 -0.246728720E+04  0.246728739E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.320434607E+00 -0.163950639E+00 -0.640494398E+01  0.790202704E+02  0.787594456E+02 0. 9.
               22        1    3    0    0    0  0.781336820E+01  0.847041525E+01  0.345295226E+02  0.364017113E+02  0.512599945E-05 0. 9.
               22        1    3    0    0    0 -0.813380281E+01 -0.863436589E+01 -0.409344666E+02  0.426185591E+02  0.548233141E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.134422101E-01 -0.229780759E-01  0.249522073E+04  0.249522091E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.632925475E-02 -0.503525433E-02 -0.250165889E+04  0.250165906E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.197714649E-01  0.280133303E-01  0.643815642E+01  0.231200260E+02  0.222055077E+02 0. 9.
               22        1    3    0    0    0  0.589637370E+01  0.649387211E+01 -0.387225243E+01  0.958811434E+01  0.168587394E-05 0. 9.
               22        1    3    0    0    0 -0.591614516E+01 -0.646585878E+01  0.103104088E+02  0.135319117E+02  0.198940268E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.512875651E-01  0.285371127E+00  0.248363273E+04  0.248363293E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.224613193E-02  0.202213762E-02 -0.250570676E+04  0.250570694E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.535336970E-01 -0.287393264E+00  0.220740316E+02  0.306601355E+02  0.212766440E+02 0. 9.
               22        1    3    0    0    0 -0.416203505E+01 -0.566903585E+01  0.227911882E+02  0.238515987E+02  0.610416752E-05 0. 9.
               22        1    3    0    0    0  0.410850135E+01  0.538164259E+01 -0.717156552E+00  0.680853684E+01  0.308162354E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.297486387E+00 -0.213391563E+00  0.249901773E+04  0.249901794E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.130751441E-01  0.112746603E-01 -0.248779819E+04  0.248779836E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.310561531E+00  0.202116903E+00 -0.112195463E+02  0.331837018E+02  0.312272724E+02 0. 9.
               22        1    3    0    0    0 -0.148019619E+02 -0.414548859E+01 -0.707318182E+01  0.169207876E+02  0.281596465E-05 0. 9.
               22        1    3    0    0    0  0.151125234E+02  0.434760549E+01 -0.414636450E+01  0.162629142E+02  0.277017356E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.325026329E-01 -0.448907197E-01  0.248567518E+04  0.248567536E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.871814806E-02 -0.598426968E-01 -0.247330047E+04  0.247330065E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.237844848E-01  0.104733417E+00 -0.123747101E+02  0.610239991E+02  0.597560330E+02 0. 9.
               22        1    3    0    0    0 -0.885507589E+01 -0.329777628E+00  0.229543134E+02  0.246053170E+02  0.620002919E-05 0. 9.
               22        1    3    0    0    0  0.883129140E+01  0.434511045E+00 -0.353290234E+02  0.364186821E+02  0.755452133E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.433254040E-01 -0.800165776E-02  0.249498226E+04  0.249498244E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.153634686E-01  0.738543684E-01 -0.249792488E+04  0.249792506E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.586888726E-01 -0.658527106E-01  0.294262068E+01  0.270925073E+02  0.269320841E+02 0. 9.
               22        1    3    0    0    0 -0.120973935E+02  0.546764109E+01 -0.873633713E+00  0.133043326E+02  0.284108526E-05 0. 9.
               22        1    3    0    0    0  0.120387047E+02 -0.553349380E+01  0.381625439E+01  0.137881747E+02  0.291026965E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.374286474E+00  0.184812120E+00  0.245246153E+04  0.245246174E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.270114613E-02  0.253001726E-01 -0.249300162E+04  0.249300180E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.371585327E+00 -0.210112293E+00  0.405400952E+02  0.745364591E+02  0.625460006E+02 0. 9.
               22        1    3    0    0    0 -0.219461623E+02 -0.118689315E+02  0.431815446E+02  0.498713482E+02  0.187730977E-05 0. 9.
               22        1    3    0    0    0  0.215745770E+02  0.116588192E+02 -0.264144948E+01  0.246651108E+02  0.143051147E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.187830102E-02 -0.250356413E-02  0.250214876E+04  0.250214893E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.127429547E-01 -0.280614228E-01 -0.249702195E+04  0.249702213E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.146212557E-01  0.305649869E-01 -0.512680581E+01  0.208289381E+02  0.201880999E+02 0. 9.
               22        1    3    0    0    0  0.284591405E+01  0.965721829E+01 -0.347907002E+01  0.106519961E+02  0.195290505E-05 0. 9.
               22        1    3    0    0    0 -0.286053531E+01 -0.962665331E+01 -0.164773579E+01  0.101769420E+02  0.189285809E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.220103405E+00  0.164254072E+00  0.250019471E+04  0.250019490E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.399115815E-01 -0.596669776E-02 -0.249578191E+04  0.249578209E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.180191824E+00 -0.158287374E+00 -0.441280177E+01  0.240230084E+02  0.236130174E+02 0. 9.
               22        1    3    0    0    0 -0.830034758E+01 -0.300990793E+01  0.570860660E+01  0.105139671E+02  0.276246792E-05 0. 9.
               22        1    3    0    0    0  0.848053940E+01  0.285162055E+01 -0.101214084E+02  0.135090413E+02  0.313364015E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.842394873E-02  0.193651512E-01  0.248807558E+04  0.248807576E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.761881279E-01  0.167834483E-01 -0.250318240E+04  0.250318258E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.846120767E-01 -0.361485995E-01  0.151068229E+02  0.287416631E+02  0.244511479E+02 0. 9.
               22        1    3    0    0    0 -0.697427111E+01 -0.760847265E+00  0.193740774E+02  0.206051989E+02  0.206132131E-05 0. 9.
               22        1    3    0    0    0  0.688965903E+01  0.724698665E+00 -0.426725449E+01  0.813646426E+01  0.133546332E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.202796646E-01  0.192641855E-02  0.248635018E+04  0.248635036E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.276928568E-02 -0.342254458E-02 -0.250144349E+04  0.250144367E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.230489503E-01  0.149612602E-02  0.150933083E+02  0.322059710E+02  0.284502387E+02 0. 9.
               22        1    3    0    0    0  0.117150306E+02  0.520053706E+01  0.581580437E+00  0.128306572E+02  0.387384339E-05 0. 9.
               22        1    3    0    0    0 -0.117380796E+02 -0.519904094E+01  0.145117278E+02  0.193753138E+02  0.480991387E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.424994269E-01  0.417346316E-01  0.248589057E+04  0.248589075E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.357342559E-01  0.276284462E-01 -0.249837412E+04  0.249837430E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.676517103E-02 -0.693630778E-01  0.124835513E+02  0.357349490E+02  0.334834686E+02 0. 9.
               22        1    3    0    0    0  0.110211551E+02 -0.793191667E+01  0.167342084E+02  0.215502875E+02  0.323406696E-05 0. 9.
               22        1    3    0    0    0 -0.110143899E+02  0.786255359E+01 -0.425065713E+01  0.141846614E+02  0.260357018E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.819927135E-01  0.192794221E+00  0.250161736E+04  0.250161755E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.570990482E-02  0.112606851E-01 -0.249627395E+04  0.249627413E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.762828087E-01 -0.204054906E+00 -0.534341512E+01  0.221083262E+02  0.214517725E+02 0. 9.
               22        1    3    0    0    0  0.860139120E-01 -0.562507625E+01 -0.121603782E+02  0.133986447E+02  0.347972513E-05 0. 9.
               22        1    3    0    0    0 -0.973110332E-02  0.542102135E+01  0.681696306E+01  0.870968154E+01  0.280587864E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.900980461E-02  0.855334225E-01  0.249421094E+04  0.249421112E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.418263656E-01  0.717841502E-01 -0.249879373E+04  0.249879391E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.508361702E-01 -0.157317573E+00  0.458279115E+01  0.269949728E+02  0.266026174E+02 0. 9.
               22        1    3    0    0    0 -0.923557566E+00  0.130654092E+02  0.411097544E+01  0.137280004E+02  0.362416949E-05 0. 9.
               22        1    3    0    0    0  0.974393736E+00 -0.132227268E+02  0.471815716E+00  0.132669724E+02  0.357280006E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.194693291E-01  0.464461327E-02  0.248531790E+04  0.248531807E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.163196846E+00  0.927602137E-01 -0.250570519E+04  0.250570538E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.182666175E+00 -0.974048269E-01  0.203872981E+02  0.289765483E+02  0.205901815E+02 0. 9.
               22        1    3    0    0    0 -0.205050599E+01  0.711379342E+01  0.142534441E+00  0.740479222E+01  0.161593458E-05 0. 9.
               22        1    3    0    0    0  0.186783982E+01 -0.721119825E+01  0.202447637E+02  0.215717561E+02  0.292404678E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.762238084E-01  0.326875598E-01  0.249825213E+04  0.249825231E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.558285381E-02  0.142046050E-01 -0.249488034E+04  0.249488052E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.818066622E-01 -0.468921648E-01 -0.337178878E+01  0.268671759E+02  0.266545923E+02 0. 9.
               22        1    3    0    0    0 -0.292304462E+01 -0.697199642E+01  0.938071107E+01  0.120478489E+02  0.387521880E-05 0. 9.
               22        1    3    0    0    0  0.300485129E+01  0.692510425E+01 -0.127524998E+02  0.148193270E+02  0.430785328E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.424852731E-01  0.328040509E-01  0.249096310E+04  0.249096327E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.124184805E-01  0.278555139E-02 -0.250017167E+04  0.250017184E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.549037536E-01 -0.355896023E-01  0.920857309E+01  0.288648832E+02  0.273565236E+02 0. 9.
               22        1    3    0    0    0  0.715951345E+01  0.108933560E+02  0.231520288E+00  0.130375396E+02  0.165396177E-05 0. 9.
               22        1    3    0    0    0 -0.710460969E+01 -0.109289456E+02  0.897705280E+01  0.158273436E+02  0.183326679E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.413944943E+00 -0.116956207E-01  0.246640314E+04  0.246640336E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.195700703E+00  0.697273846E-01 -0.250201352E+04  0.250201371E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.218244240E+00 -0.580317639E-01  0.356103820E+02  0.515829347E+02  0.373182106E+02 0. 9.
               22        1    3    0    0    0  0.878108128E+01 -0.121834039E+02  0.330030522E+02  0.362594012E+02  0.787503460E-05 0. 9.
               22        1    3    0    0    0 -0.899932552E+01  0.121253722E+02  0.260732981E+01  0.153235335E+02  0.485549256E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.142514936E+00  0.398271475E+00  0.250281059E+04  0.250281081E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.396745036E-01  0.307228474E-02 -0.249473191E+04  0.249473208E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.102840432E+00 -0.401343760E+00 -0.807868891E+01  0.224571114E+02  0.209495820E+02 0. 9.
               22        1    3    0    0    0  0.350568761E+01  0.693925799E+01  0.334070704E+01  0.846188340E+01  0.244778504E-05 0. 9.
               22        1    3    0    0    0 -0.340284718E+01 -0.734060175E+01 -0.114193960E+02  0.139952280E+02  0.316073265E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.143368885E+00 -0.294775938E+00  0.250002924E+04  0.250002944E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.191090660E-01  0.108410891E-01 -0.249851160E+04  0.249851178E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.162477951E+00  0.283934849E+00 -0.151763615E+01  0.214587831E+02  0.214025498E+02 0. 9.
               22        1    3    0    0    0 -0.260544408E+01 -0.479716113E+01 -0.993016216E+01  0.113317790E+02  0.174388156E-05 0. 9.
               22        1    3    0    0    0  0.244296613E+01  0.508109598E+01  0.841252602E+01  0.101270042E+02  0.164210526E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.139933856E+00 -0.873947508E-01  0.248587470E+04  0.248587489E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.103166590E-01 -0.407470191E-02 -0.250144007E+04  0.250144024E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.129617197E+00  0.914694527E-01  0.155653651E+02  0.326848694E+02  0.287401275E+02 0. 9.
               22        1    3    0    0    0  0.121210480E+02  0.146764530E+01  0.165593037E+02  0.205738749E+02  0.287093987E-05 0. 9.
